2023.01.22 15:31:19 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin JavaScript/TypeScript Code Quality and Security / 6.5.0.13383 / 571826181a8fdfbefd8d16a8a020f48b9d74676b
2023.01.22 15:31:19 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin PHP Code Quality and Security / 3.9.0.6331 / 5951b3f0be60713cb05ec3608734e2489a4b0670
2023.01.22 15:31:19 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Python Code Quality and Security / 3.1.0.7619 / afa4cc5b20ce4ae18a7cba39f196ea7bee64eaa0
2023.01.22 15:31:19 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin SonarFlex / 2.5.1.1831 / a0c44437f6abb0feec76edd073f91fec64db2a6c
2023.01.22 15:31:19 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin SonarGo / 1.6.0.719 / edcc6a9e42fcdd30bb6f84a779c6cd7009ec72fd
2023.01.22 15:31:19 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin SonarHTML / 3.2.0.2082 / 997a51b39c4d0a5399c73a8fb729030a69eb392b
2023.01.22 15:31:19 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin SonarKotlin / 1.5.0.315 / 4ff3a145a58f3f84f1b39846a205a129d742e993
2023.01.22 15:31:19 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin SonarRuby / 1.5.0.315 / 4ff3a145a58f3f84f1b39846a205a129d742e993
2023.01.22 15:31:19 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin SonarScala / 1.5.0.315 / 4ff3a145a58f3f84f1b39846a205a129d742e993
2023.01.22 15:31:19 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin SonarXML / 2.0.1.2020 / c5b84004face582d56f110e24c29bf9c6a679e69
2023.01.22 15:31:19 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin VB.NET Code Quality and Security / 8.13.1.21947 / 6b0b8a220b9698836e5489199ca0a4e09bc778ff
2023.01.22 15:31:21 INFO  web[][o.s.s.p.d.m.AutoDbMigration] Automatically perform DB migration on fresh install
2023.01.22 15:31:21 INFO  web[][DbMigrations] Executing DB migrations...
2023.01.22 15:31:21 INFO  web[][DbMigrations] #1 'Create initial schema'...
2023.01.22 15:31:21 INFO  web[][DbMigrations] #1 'Create initial schema': success | time=474ms
2023.01.22 15:31:21 INFO  web[][DbMigrations] #2 'Populate initial schema'...
